node,location,time,rules,primary,downsample,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
trophic,Dolomites,5,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,1,minimum,true,false,30,115,0.12777777777777777,23,0.892911770903376,3.0,1.0,0.0,5.94853406069633,3.887054849407048,2.0,0.0,211.0,0.0
trophic,Dolomites,1,minimum,true,true,29,75,0.089179548156956,18,0.8780920568475535,2.0,22.0,1.0,5.447917304407715,1.3500592944467913,0.0,0.0,0.0,3.0
trophic,Dolomites,1,minimum,false,false,30,115,0.12777777777777777,23,0.892911770903376,3.0,1.0,0.0,5.94853406069633,3.887054849407048,2.0,0.0,211.0,0.0
trophic,Dolomites,1,minimum,false,true,29,66,0.07847800237812129,21,0.912576701048362,2.0,21.0,1.0,4.927304042085561,1.250615611955566,1.0,0.0,1.0,56.0
trophic,Dolomites,2,minimum,true,false,19,46,0.12742382271468145,13,0.9730194590947379,3.0,1.0,0.0,3.5639520740274993,2.3408400551389006,5.0,0.0,55.0,0.0
trophic,Dolomites,2,minimum,true,true,19,30,0.08310249307479224,12,0.9398561462029913,3.0,11.0,1.0,3.220003269040511,0.901590537370498,1.0,1.0,5.0,24.0
trophic,Dolomites,2,minimum,false,false,19,46,0.12742382271468145,13,0.9730194590947379,3.0,1.0,0.0,3.5639520740274993,2.3408400551389006,5.0,0.0,55.0,0.0
trophic,Dolomites,2,minimum,false,true,18,31,0.09567901234567901,11,0.916703045629408,2.0,12.0,0.0,3.6105328848271556,0.8947924869885988,0.0,3.0,3.0,18.0
trophic,Dolomites,3,minimum,true,false,19,64,0.1772853185595568,13,0.9181541157328222,3.0,1.0,0.0,4.297422047845655,2.408561726558669,4.0,0.0,42.0,0.0
trophic,Dolomites,3,minimum,true,true,19,50,0.13850415512465375,12,0.8566749948026485,3.0,10.0,0.0,4.310330308505493,1.2565617248750864,0.0,0.0,3.0,21.0
trophic,Dolomites,3,minimum,false,false,19,64,0.1772853185595568,13,0.9181541157328222,3.0,1.0,0.0,4.297422047845655,2.408561726558669,4.0,0.0,42.0,0.0
trophic,Dolomites,3,minimum,false,true,19,46,0.12742382271468145,13,0.8903116966662715,3.0,10.0,0.0,4.059499004032725,1.5024346712987116,2.0,0.0,3.0,10.0
trophic,Dolomites,4,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,4,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,4,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,4,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,5,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,1,maximal,true,false,15,24,0.10666666666666667,9,0.9436362849319767,3.0,1.0,5.0,1.8439088914585773,2.4727081741050063,2.0,0.0,46.0,0.0
guild,Greenland,1,maximal,true,true,10,14,0.14,8,0.9366601115257993,3.0,5.0,0.0,2.3190036174568114,0.5163977794943223,1.0,0.0,1.0,0.0
guild,Greenland,1,maximal,false,false,15,24,0.10666666666666667,9,0.9436362849319767,3.0,1.0,5.0,1.8439088914585773,2.4727081741050063,2.0,0.0,46.0,0.0
